#name	value
ENSRNOT00000072992	MRPL36
ENSRNOT00000016975	Irx4
ENSRNOT00000017019	Irx2
ENSRNOT00000044690	Irx1
ENSRNOT00000022790	Adamts16
ENSRNOT00000022707	Adamts16
ENSRNOT00000061873	RGD1309747
ENSRNOT00000023161	Med10
ENSRNOT00000041762	Ube2ql1
ENSRNOT00000023641	Nsun2
ENSRNOT00000023659	Srd5a1
ENSRNOT00000023712	Papd7
ENSRNOT00000047627	Adcy2
ENSRNOT00000071842	RGD1308544
ENSRNOT00000034410	Fastkd3
ENSRNOT00000024041	Mtrr
ENSRNOT00000061790	Mtrr
ENSRNOT00000022527	ZFP87
ENSRNOT00000071889	Zfp748
ENSRNOT00000071880	Mir29b2
ENSRNOT00000071875	Mir3556b
ENSRNOT00000071275	Zfp71-rs1
ENSRNOT00000022046	Ppp1r14c
ENSRNOT00000021895	Iyd
ENSRNOT00000021471	Plekhg1
ENSRNOT00000026564	Mthfd1l
ENSRNOT00000060767	Akap12
ENSRNOT00000026482	Akap12
ENSRNOT00000026433	Zbtb2
ENSRNOT00000060757	Rmnd1
ENSRNOT00000026367	RGD1305235
ENSRNOT00000035962	Ccdc170
ENSRNOT00000026350	Esr1
ENSRNOT00000025616	Myct1
ENSRNOT00000025477	Vip
ENSRNOT00000029416	Fbxo5
ENSRNOT00000025398	Mtrf1l
ENSRNOT00000025355	Rgs17
ENSRNOT00000024682	OPRM1
ENSRNOT00000045144	OPRM1
ENSRNOT00000051837	OPRM1
ENSRNOT00000024460	Ipcef1
ENSRNOT00000024418	Cnksr3
ENSRNOT00000058849	RGD1560234
ENSRNOT00000065733	Scaf8
ENSRNOT00000065386	Tiam2
ENSRNOT00000022397	Tfb1m
ENSRNOT00000030132	Cldn20
ENSRNOT00000022148	Nox3
ENSRNOT00000022939	Arid1b
ENSRNOT00000046311	RGD1307262
ENSRNOT00000043521	Zdhhc14
ENSRNOT00000075268	Snx9
ENSRNOT00000066798	Synj2
ENSRNOT00000068476	Synj2
ENSRNOT00000067661	Synj2
ENSRNOT00000060527	Serac1
ENSRNOT00000024205	Serac1
ENSRNOT00000024211	Gtf2h5
ENSRNOT00000024412	Tulp4
ENSRNOT00000070758	5S_rR1
ENSRNOT00000068457	Tmem181
ENSRNOT00000024656	Dynlt1
ENSRNOT00000024967	Sytl3
ENSRNOT00000046746	Ezr
ENSRNOT00000067916	Rsph3
ENSRNOT00000025554	Rsph3
ENSRNOT00000025580	Tagap
ENSRNOT00000034842	Fndc1
ENSRNOT00000023046	Pacrg
ENSRNOT00000050014	Park2
ENSRNOT00000066140	Park2
ENSRNOT00000068620	Park2
ENSRNOT00000047982	Park2
ENSRNOT00000064456	Park2
ENSRNOT00000073894	Park2
ENSRNOT00000070100	5S_rR1
ENSRNOT00000024213	Agpat4
ENSRNOT00000064018	Map3k4
ENSRNOT00000023368	Plg
ENSRNOT00000037369	Slc22a3
ENSRNOT00000023116	Slc22a2
ENSRNOT00000051927	Slc22a2
ENSRNOT00000022254	Slc22a1
ENSRNOT00000022068	Slc22a1
ENSRNOT00000021840	Igf2r
ENSRNOT00000020100	Mas1
ENSRNOT00000020070	Mrgprh
ENSRNOT00000060412	Pnldc1
ENSRNOT00000020064	Mrpl18
ENSRNOT00000019531	Tcp1
ENSRNOT00000033408	Acat2
ENSRNOT00000025936	Wtap
ENSRNOT00000025794	Sod2
ENSRNOT00000071865	Qk
ENSRNOT00000023304	Qk
ENSRNOT00000035402	QK
ENSRNOT00000023290	QK
ENSRNOT00000023319	Pabpc6
ENSRNOT00000015010	MGC94891
ENSRNOT00000067142	Pde10a
ENSRNOT00000043474	Pde10a
ENSRNOT00000016471	T
ENSRNOT00000033685	T2
ENSRNOT00000033528	Prr18
ENSRNOT00000049831	Sft2d1
ENSRNOT00000017282	Mpc1
ENSRNOT00000017302	Ccr6
ENSRNOT00000017590	Fgfr1op
ENSRNOT00000017601	Rnaset2
ENSRNOT00000017809	Rps6ka2
ENSRNOT00000060121	Gpr31
ENSRNOT00000018015	Tcp10b
ENSRNOT00000044831	Ttll2
ENSRNOT00000073581	Unc93a
ENSRNOT00000032667	Mllt4
ENSRNOT00000042807	Mllt4
ENSRNOT00000075019	RGD1560718
ENSRNOT00000029537	Vom2r9
ENSRNOT00000035125	Dact2
ENSRNOT00000019317	Smoc2
ENSRNOT00000014552	Thbs2
ENSRNOT00000021141	Wdr27
ENSRNOT00000020889	1600012H06Rik
ENSRNOT00000020865	Phf10
ENSRNOT00000047157	Tcte3
ENSRNOT00000059845	RGD1309374
ENSRNOT00000002037	Psmb1
ENSRNOT00000002038	Tbp
ENSRNOT00000002040	Pdcd2
ENSRNOT00000066370	Prdm9
ENSRNOT00000019358	Chd1
ENSRNOT00000075401	Rgmb
ENSRNOT00000017165	Riok2
ENSRNOT00000017442	Lix1
ENSRNOT00000017718	LNPEP
ENSRNOT00000053777	Mir99b
ENSRNOT00000053576	Mir3596c
ENSRNOT00000053695	Mir125a
ENSRNOT00000014598	4930546H06Rik
ENSRNOT00000014824	Has1
ENSRNOT00000014842	Fpr1
ENSRNOT00000041605	Fpr2l
ENSRNOT00000039037	Fpr-rs3
ENSRNOT00000059694	Vom1r6
ENSRNOT00000071327	Vmn1r228
ENSRNOT00000014908	Vmn1r228
ENSRNOT00000014930	Taf5l
ENSRNOT00000072448	Vom1r9
ENSRNOT00000071972	Vom1r9
ENSRNOT00000051451	Vom1r15
ENSRNOT00000015019	Ppp2r1a
ENSRNOT00000042702	Vom1r19
ENSRNOT00000041434	Vom1r20
ENSRNOT00000015370	Vom1r17
ENSRNOT00000015343	Zfp53
ENSRNOT00000050119	Zfp52
ENSRNOT00000029111	3110052M02Rik
ENSRNOT00000068694	RGD1565566
ENSRNOT00000038190	Vom1r22
ENSRNOT00000059325	Lilrb3l
ENSRNOT00000045952	Pira2
ENSRNOT00000059324	Pira2
ENSRNOT00000035413	RPS9
ENSRNOT00000016198	Tsen34
ENSRNOT00000074360	Mboat7
ENSRNOT00000015234	Rps9
ENSRNOT00000073360	TSEN34
ENSRNOT00000017002	Mboat7
ENSRNOT00000017074	Tmc4
ENSRNOT00000017546	Leng1
ENSRNOT00000018017	Cnot3
ENSRNOT00000075413	Mir3572
ENSRNOT00000018683	Prpf31
ENSRNOT00000018913	Tfpt
ENSRNOT00000019141	Ndufa3
ENSRNOT00000037943	Oscar
ENSRNOT00000059241	Tarm1
ENSRNOT00000019211	Cacng6
ENSRNOT00000019191	Cacng6
ENSRNOT00000019300	Cacng8
ENSRNOT00000063038	Mir935
ENSRNOT00000019683	Cacng7
ENSRNOT00000019825	Prkcg
ENSRNOT00000022264	Myadm
ENSRNOT00000035433	Olr386
ENSRNOT00000043650	Nlrp12
ENSRNOT00000062151	Mir295-1
ENSRNOT00000062163	Mir294
ENSRNOT00000062153	Mir293
ENSRNOT00000062195	Mir291b
ENSRNOT00000053618	Mir292
ENSRNOT00000053583	Mir291a
ENSRNOT00000053668	Mir290
ENSRNOT00000059193	AU018091
ENSRNOT00000036530	Vom2r27
ENSRNOT00000073810	Zfp677
ENSRNOT00000031821	Zfp54
ENSRNOT00000059638	Vom1r23
ENSRNOT00000037385	Nsun3
ENSRNOT00000073354	Vom2r13
ENSRNOT00000034746	Zfp943
ENSRNOT00000071440	Vom2r16
ENSRNOT00000059526	Vom2r16
ENSRNOT00000041681	Vom2r16
ENSRNOT00000044053	Vom2r16
ENSRNOT00000014402	Vom2r16
ENSRNOT00000046728	Vom2r16
ENSRNOT00000059506	Vom2r16
ENSRNOT00000015520	Zfp40
ENSRNOT00000042466	Vom2r15
ENSRNOT00000046796	Vom2r19
ENSRNOT00000058563	Mzf1
ENSRNOT00000031007	UBE2M
ENSRNOT00000030931	Chmp2a
ENSRNOT00000029996	Trim28
ENSRNOT00000038860	Zbtb45
ENSRNOT00000026575	Slc27a5
ENSRNOT00000046708	Zfp446
ENSRNOT00000026540	Zfp446
ENSRNOT00000036874	ZFP324
ENSRNOT00000058574	RGD1561909
ENSRNOT00000026528	RPS5
ENSRNOT00000026305	Zscan22
ENSRNOT00000006118	Zfp128
ENSRNOT00000026298	Zfp110
ENSRNOT00000026204	Zfp329
ENSRNOT00000036880	Zscan18
ENSRNOT00000073461	Vom2r33
ENSRNOT00000042276	Vom2r35
ENSRNOT00000052029	Vom2r35
ENSRNOT00000062160	Mir295-2
ENSRNOT00000026074	2900092C05Rik
ENSRNOT00000025981	Zfp606
ENSRNOT00000073006	Zfp606
ENSRNOT00000038977	Vom1r53
ENSRNOT00000040738	Vom1r56
ENSRNOT00000039088	Vom1r52
ENSRNOT00000029114	Vom1r51
ENSRNOT00000074063	Zfp551
ENSRNOT00000045994	Vom1r48
ENSRNOT00000043603	RGD1564617
ENSRNOT00000051024	Vom1r47
ENSRNOT00000048152	Vom1r46
ENSRNOT00000045214	Vom1r45
ENSRNOT00000046788	Vom1r44
ENSRNOT00000048195	Vom1r43
ENSRNOT00000041518	Vom1r42
ENSRNOT00000025808	Sbk1
ENSRNOT00000046111	Vom1r40
ENSRNOT00000049350	Vom1r41
ENSRNOT00000003545	Vom2r32
ENSRNOT00000052217	Vom1r40
ENSRNOT00000044950	Vom1r28
ENSRNOT00000075596	Vom1r29
ENSRNOT00000070823	Vom1r109
ENSRNOT00000072292	Vom1r27
ENSRNOT00000043828	Vom1r63
ENSRNOT00000043310	Vom1r110
ENSRNOT00000051034	Vom1r28
ENSRNOT00000074495	Vom1r29
ENSRNOT00000074949	Vom1r109
ENSRNOT00000032784	Vom1r30
ENSRNOT00000032755	Vom2r26
ENSRNOT00000043045	Lilrc2
ENSRNOT00000015054	Lilrb3
ENSRNOT00000071232	Prrg3
ENSRNOT00000043739	Nlrp4a
ENSRNOT00000038169	Vom2r28
ENSRNOT00000020751	Zfp418
ENSRNOT00000030259	Zfp772
ENSRNOT00000075340	Hiat1
ENSRNOT00000072231	Zfp773
ENSRNOT00000042086	Zfp954
ENSRNOT00000021245	Aurkc
ENSRNOT00000055721	Usp29
ENSRNOT00000070831	rno-mir-3099
ENSRNOT00000050180	Peg3
ENSRNOT00000020095	Peg3
ENSRNOT00000075745	APEG3
ENSRNOT00000020416	Zim1
ENSRNOT00000020448	Olr3
ENSRNOT00000063490	5S_rR1
ENSRNOT00000072272	Olr4
ENSRNOT00000072404	Olr6
ENSRNOT00000020514	Olr7
ENSRNOT00000050607	Olr8
ENSRNOT00000020439	Olfr1350
ENSRNOT00000064949	Smim17
ENSRNOT00000020523	Zfp28
ENSRNOT00000035184	Zfp78
ENSRNOT00000035217	Zfp78
ENSRNOT00000039438	Zfp583
ENSRNOT00000067530	Zfp583
ENSRNOT00000063956	Zfp667
ENSRNOT00000071400	Zscan5b
