ensembl_transcript_id,GeneName,logfc,pvalue,fdr
ENSRNOT00000000006,Sp5,0.55057502717044,0.301021700501478,NA
ENSRNOT00000000008,Gad1,-0.249962326745095,0.287105418179457,0.649922505164451
ENSRNOT00000000009,Alx4,0.097396420249214,0.698788205740851,NA
ENSRNOT00000000010,Tmco5b,-0.086235347763109,0.829938890500932,NA
ENSRNOT00000000011,Cbln1,-0.408537884306195,0.192332531789864,NA
ENSRNOT00000000013,Tcf15,-0.036276546561702,0.93227438094475,NA
ENSRNOT00000000015,ENSRNOT00000000015,-0.339582911307259,0.434386450953741,NA
ENSRNOT00000000018,Steap1,-0.018681771257613,0.970864230745145,NA
ENSRNOT00000000022,ENSRNOT00000000022,-0.28834424682226,0.542545248280273,NA
ENSRNOT00000000025,HEBP1,-0.416562686439927,0.103150017735269,0.43964336446923
ENSRNOT00000000026,Slc21a4,NA,NA,NA
ENSRNOT00000000029,Nde1,0.737909958210589,0.198091623882004,NA
ENSRNOT00000000036,Tmcc2,-0.22193896282141,0.533103894011995,0.815743377131348
ENSRNOT00000000037,Fgfrl1,1.25753700553176,1.46E-05,NA
ENSRNOT00000000039,Nuak2,0.363926163144899,0.348094983084602,NA
ENSRNOT00000000040,Tmed11,-0.422788362816485,0.442194651847294,NA
ENSRNOT00000000041,Klhdc8a,-0.314928106292885,0.35686884868746,NA
ENSRNOT00000000043,ENSRNOT00000000043,NA,NA,NA
ENSRNOT00000000047,Slc26a1,0.702522998208448,0.116865398957752,NA
ENSRNOT00000000048,Idua,0.077196605786301,0.784774919883634,0.917878226008591
ENSRNOT00000000049,Xpr1,-1.02057541293056,0.003495760685392,NA
ENSRNOT00000000050,Tmem175,0.306653942404529,0.150638187098536,0.514252734524534
ENSRNOT00000000052,Cd82,0.834045444301898,0.005187076466203,0.127132629844456
ENSRNOT00000000053,Cd244,-0.376484080095569,0.558604962796114,NA
ENSRNOT00000000058,Crp,-0.286991073779356,0.614289964054396,NA
ENSRNOT00000000059,Fcrl6,-0.057430163989377,0.886628563537746,NA
ENSRNOT00000000060,Abhd8,0.311925334669702,0.332766811594898,0.689253452231357
ENSRNOT00000000064,Gak,0.296610045415958,0.166654323798308,0.537499949856957
ENSRNOT00000000071,Pcgf3,0.126266077668098,0.684669996979964,NA
ENSRNOT00000000072,Atp5i,0.367489894450448,0.189566259943188,0.563643679564413
ENSRNOT00000000074,Fbxo28,-0.110458231249279,0.707193762148085,NA
ENSRNOT00000000077,Pde6b,-0.629398209234819,0.332003716128662,NA
ENSRNOT00000000078,Ppp2r5a,-0.58340355625835,0.01261481787252,0.185572381920231
ENSRNOT00000000079,Acot7,0.271841962377533,0.678858487684735,NA
ENSRNOT00000000080,Dr1,0.005776873559663,0.984368606904671,0.993857189941871
ENSRNOT00000000083,Tmed5,-0.856812790280301,0.001317320301526,NA
ENSRNOT00000000084,Espn,NA,NA,NA
ENSRNOT00000000086,Mtf2,-0.439064469844003,0.111742575628387,0.453416252113745
ENSRNOT00000000092,Antxr2,-0.126216055968013,0.819142684585179,NA
ENSRNOT00000000101,Rfxap,0.180984721728424,0.45163416687943,0.770139860788727
ENSRNOT00000000102,Smad9,0.265047540553466,0.609513247952831,NA
ENSRNOT00000000104,ENSRNOT00000000104,-0.53282986852791,0.383209717156561,NA
ENSRNOT00000000106,Gpr89b,0.149844240942316,0.499349581824983,0.799135056896303
ENSRNOT00000000107,Pdzk1,0.135934859698527,0.667483357655498,NA
ENSRNOT00000000109,Cd160,-0.33250192699939,0.434572240075024,NA
ENSRNOT00000000110,Rnf115,-0.058258385850142,0.853287739161428,0.946524335355722
ENSRNOT00000000116,Thoc3,0.635016953231829,0.006674600162925,0.144192221644692
ENSRNOT00000000117,Cplx2,-0.874122018339512,0.023423847713997,0.240607814631298
ENSRNOT00000000120,Aga,-0.049742477340939,0.826343535284045,0.93555729764471
ENSRNOT00000000121,Fgf20,NA,NA,NA
ENSRNOT00000000123,Coprs,0.141182187279153,0.567336288183412,0.832780363546995
ENSRNOT00000000124,Champ1,-0.069607025520656,0.785080251571152,0.917878226008591
ENSRNOT00000000125,Elac1,0.29983844599845,0.354759694648438,NA
ENSRNOT00000000129,Piezo2,0.239818641934635,0.526910337060558,NA
ENSRNOT00000000133,Pigv,-0.030145138425486,0.921764697016568,NA
ENSRNOT00000000134,RGD1562178,-0.027471936369712,0.919513974399253,NA
ENSRNOT00000000136,ENSRNOT00000000136,NA,NA,NA
ENSRNOT00000000139,Kpna6,-0.030542461327662,0.935453165678688,NA
ENSRNOT00000000141,RGD1559864,NA,NA,NA
ENSRNOT00000000142,Dnajb5,0.332110627418211,0.113030057124101,0.45561328565534
ENSRNOT00000000146,Txndc15,0.126508156690201,0.566142663737485,0.832357344622976
ENSRNOT00000000149,Ly86,0.122665610575865,0.76530130685677,NA
ENSRNOT00000000155,Plxdc2,-0.417177294726791,0.062249202287488,0.367249164337765
ENSRNOT00000000157,Pik3r3,-0.146250477485813,0.641070904122454,NA
ENSRNOT00000000158,NEBL,-0.786569866156829,0.112405642154375,NA
ENSRNOT00000000161,Mast2,0.092568457048381,0.659009480017816,0.870735233555727
ENSRNOT00000000162,Dnajc1,-0.528449578290523,0.030205861296941,NA
ENSRNOT00000000163,Ldlrap1,0.074455060037555,0.881255744803364,NA
ENSRNOT00000000167,Ubxn10,-0.381504692943117,0.567450428367284,NA
ENSRNOT00000000168,Cog3,0.757975905400994,0.023834331462283,NA
ENSRNOT00000000169,Megf6,0.13287197768235,0.827188699823006,NA
